YEAR,CLOUD_AMT,GWETPROF,GWETROOT,GWETTOP,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS10M,PREC_DAYS
1984,80.67355555555555,0.9035897435897436,0.8873076923076922,0.8996666666666666,5.393222222222222,30.804222222222222,21.529777777777777,9.273555555555555,2.4067777777777777,434.7415892375204
1985,76.96788888888888,0.8638461538461538,0.8443589743589743,0.8751111111111112,5.27,31.32177777777778,21.508333333333333,9.812111111111111,2.3456666666666663,426.6225806451613
1986,75.90477777777778,0.8401282051282052,0.8216666666666667,0.8595555555555555,5.463555555555555,31.222666666666665,21.348333333333333,9.875111111111112,2.497777777777778,401.40303424713255
1987,72.84566666666666,0.8391025641025641,0.8205128205128205,0.8575555555555556,5.5811111111111105,31.561222222222224,21.691,9.869444444444444,2.427888888888889,405.307206848497
1988,77.60066666666667,0.9033333333333334,0.8876923076923077,0.8998888888888888,5.71,31.76877777777778,21.983,9.786666666666665,2.515111111111111,440.8384705195563
1989,77.02822222222223,0.8266666666666668,0.8016666666666666,0.8484444444444444,5.27,31.31222222222222,21.30633333333333,10.005333333333333,2.485222222222222,350.974256799494
1990,72.77744444444444,0.7698717948717948,0.7474358974358974,0.809111111111111,5.27,32.088,21.830777777777776,10.258111111111111,2.485777777777778,344.8280834914611
1991,75.55777777777777,0.8073076923076923,0.7855128205128206,0.8363333333333333,5.358111111111111,31.72888888888889,21.846777777777778,9.881444444444444,2.5264444444444445,390.0799825809261
1992,74.31211111111111,0.8280769230769232,0.8078205128205128,0.8474444444444444,5.27,32.01,21.94011111111111,10.070666666666666,2.565444444444444,396.03702298123545
1993,74.05255555555556,0.8824358974358975,0.8676923076923078,0.8867777777777778,6.250111111111111,31.534888888888887,21.53388888888889,10.000444444444444,2.498888888888889,404.40689054416816
1994,75.58644444444444,0.8624358974358974,0.8417948717948718,0.8738888888888889,6.109333333333334,31.12722222222222,21.35111111111111,9.776111111111112,2.5984444444444446,393.2386330568893
1995,76.7058888888889,0.8814102564102564,0.8657692307692307,0.8878888888888888,5.780222222222221,31.516333333333332,21.74233333333333,9.774222222222221,2.5642222222222224,446.33439698589063
1996,74.88788888888888,0.8667948717948718,0.8498717948717948,0.8776666666666666,5.463555555555555,31.497555555555557,20.882444444444445,10.614777777777778,2.518222222222222,402.74359391523643
1997,70.22277777777778,0.775897435897436,0.7546153846153846,0.8134444444444444,5.27,31.899666666666665,21.59511111111111,10.304555555555556,2.5495555555555556,338.30600885515497
1998,71.49533333333333,0.8115384615384615,0.7935897435897435,0.8375555555555555,5.604444444444444,33.184888888888885,22.74711111111111,10.43811111111111,2.413222222222222,410.509516256939
1999,78.01388888888889,0.9212820512820513,0.9093589743589744,0.9138888888888889,6.854,31.091,21.644666666666666,9.44588888888889,2.4545555555555554,389.26117757675974
2000,76.23088888888888,0.9148717948717948,0.9001282051282052,0.9088888888888889,6.519666666666667,31.27311111111111,21.752777777777776,9.520333333333333,2.461888888888889,404.6024336622527
2001,80.17144444444445,0.9189743589743591,0.9057692307692309,0.9123333333333333,6.132666666666666,31.384777777777778,21.999555555555556,9.384333333333334,2.4401111111111113,409.83847882016164
2002,74.02611111111112,0.8444871794871796,0.8267948717948718,0.8626666666666667,5.533888888888888,31.671666666666663,21.47688888888889,10.193888888888889,2.4183333333333334,396.9705852826022
2003,81.76822222222222,0.8911538461538462,0.876923076923077,0.8942222222222223,6.455222222222223,31.56711111111111,22.423,9.143666666666666,2.5213333333333336,407.1585279790695
2004,79.61244444444445,0.8641025641025641,0.8467948717948718,0.8751111111111112,5.663222222222222,32.050555555555555,22.41311111111111,9.637555555555556,2.5005555555555556,408.3078341737134
2005,78.20877777777778,0.8357692307692307,0.817051282051282,0.8560000000000001,5.463555555555555,32.06966666666666,21.435555555555556,10.634666666666666,2.4472222222222224,428.32370047994795
2006,78.88088888888889,0.9161538461538461,0.9041025641025641,0.9114444444444445,5.815777777777777,31.282555555555554,22.53022222222222,8.752111111111113,2.421222222222222,434.9815253524894
2007,79.46355555555556,0.8956410256410257,0.8832051282051282,0.8971111111111111,6.108999999999999,31.302444444444443,21.433333333333334,9.86988888888889,2.480888888888889,409.4445171968499
2008,81.19822222222223,0.9171794871794873,0.9060256410256411,0.9115555555555557,7.059888888888889,31.258777777777777,22.08722222222222,9.171666666666667,2.468444444444444,396.6461385920458
2009,80.91522222222223,0.9152564102564102,0.9024358974358975,0.9101111111111111,6.801777777777778,31.28988888888889,21.915333333333333,9.374777777777778,2.3917777777777776,396.7370458703607
2010,79.36211111111112,0.8676923076923077,0.852948717948718,0.8784444444444445,5.574999999999999,32.42955555555555,22.341,10.088666666666667,2.2144444444444447,426.38070752366724
2011,82.70744444444445,0.9160256410256411,0.9032051282051282,0.9124444444444445,7.1594444444444445,31.30711111111111,21.688666666666666,9.618222222222222,2.4376666666666664,386.802002017537
2012,82.13322222222222,0.9178205128205129,0.9052564102564102,0.9116666666666666,6.203222222222222,31.498777777777775,22.536,8.962666666666667,2.202111111111111,418.05135323935593
2013,84.19088888888889,0.9043589743589744,0.8887179487179488,0.9026666666666666,6.062111111111111,31.96033333333333,22.630111111111113,9.331111111111111,2.349222222222222,412.53804138638907
2014,78.09033333333333,0.818974358974359,0.8011538461538462,0.8442222222222223,6.297000000000001,32.60488888888889,20.76377777777778,11.841222222222223,2.3712222222222223,397.9192737282304
2015,77.90133333333333,0.8279487179487179,0.8115384615384615,0.8516666666666667,5.322888888888889,31.992888888888892,21.536,10.456444444444445,2.3489999999999998,382.5669435978792
